Potential_Customer,C_ID,Cust_Last_Purchase,Pur_3_years,Pur_5_years,Pur_3_years_Indirect,Pur_5_years_Indirect,Pur_latest,Pur_3_years_Avg,Pur_5_years_Avg,Pur_3_years_Avg_Indirect,InAct_Last,InAct_First,Ad_Res_1_year,Ad_Res_3_Year,Ad_Res_5_Year,Ad_Res_Ind_1_Year,Ad_Res_Ind_3_Year,Ad_Res_Ind_5_Year,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income
1,00009946,$5.00 ,2,17,2,4,$0.00 ,$7.50 ,$7.76 ,$7.50 ,14,110,32,48,73,3,12,16,A,0,71,F,H,"$65,957.00 "
1,00087939,$30.00 ,1,7,0,3,$25.00 ,$25.00 ,$13.00 ,,18,75,13,35,55,6,6,22,A,1,7,M,U,$0.00 
0,00088003,,5,12,3,5,$15.00 ,$15.00 ,$11.25 ,$14.67 ,19,57,14,35,53,6,17,22,S,1,79,F,U,$0.00 
1,00188721,$20.00 ,1,11,0,3,$20.00 ,$20.00 ,$12.45 ,,5,113,17,38,71,8,8,33,A,0,73,F,U,"$76,293.00 "
1,00088056,$5.00 ,3,15,2,7,$3.00 ,$4.33 ,$3.80 ,$4.00 ,17,118,13,28,63,6,12,24,S,1,68,F,H,"$113,663.00 "
1,00088119,$10.00 ,4,15,4,12,$10.00 ,$7.75 ,$7.00 ,$7.75 ,16,120,14,34,72,6,16,33,A,1,67,F,H,"$62,230.00 "
0,00088113,,3,12,3,8,$18.00 ,$18.00 ,$14.58 ,$18.00 ,24,111,11,32,63,6,17,27,A,1,78,M,H,"$62,230.00 "
0,00088092,,1,3,1,3,$20.00 ,$20.00 ,$18.33 ,$20.00 ,20,58,10,23,36,4,10,14,A,0,48,M,H,"$62,230.00 "
1,00088153,$13.00 ,4,16,3,9,$5.00 ,$7.75 ,$8.06 ,$7.00 ,24,122,6,26,60,3,14,27,S,1,49,F,H,"$56,828.00 "
0,00088151,,4,14,4,14,$16.00 ,$14.50 ,$11.57 ,$14.50 ,16,104,14,34,72,6,16,30,S,1,63,M,H,"$56,828.00 "
0,00088137,,3,5,0,1,$15.00 ,$12.67 ,$10.60 ,,19,40,11,30,32,6,6,13,S,1,73,M,H,"$56,828.00 "
0,00088136,,8,11,4,5,$12.00 ,$10.50 ,$9.45 ,$10.50 ,17,41,13,34,38,6,17,16,S,1,71,F,H,"$56,828.00 "
0,00088115,,4,27,3,13,$5.00 ,$4.50 ,$3.78 ,$4.33 ,16,123,12,32,74,5,15,29,S,1,37,F,H,"$56,828.00 "
1,00008669,$10.00 ,3,18,1,8,$10.00 ,$10.00 ,$8.39 ,$10.00 ,18,128,15,35,81,7,16,33,S,1,45,F,H,"$87,665.00 "
0,00006875,,4,18,4,10,$25.00 ,$26.25 ,$21.61 ,$26.25 ,17,128,15,34,84,6,16,33,A,1,42,F,H,"$87,665.00 "
0,00088233,,1,19,1,16,$10.00 ,$10.00 ,$8.32 ,$10.00 ,15,125,9,24,70,3,10,29,E,1,17,F,H,"$87,665.00 "
1,00088213,$20.00 ,1,4,0,2,$15.00 ,$15.00 ,$16.25 ,,26,65,10,28,46,4,4,16,A,0,76,M,H,"$87,665.00 "
0,00088198,,3,3,0,0,$10.00 ,$13.33 ,$13.33 ,,16,28,13,27,24,6,6,11,A,1,40,F,H,"$87,665.00 "
1,00088189,$25.00 ,1,1,1,1,$15.00 ,$15.00 ,$15.00 ,$15.00 ,17,17,10,15,13,4,6,5,F,0,80,M,H,"$87,665.00 "
0,00088363,,4,5,3,3,$25.00 ,$21.25 ,$22.00 ,$20.00 ,17,33,13,32,31,6,15,13,A,0,,M,U,"$100,910.00 "
0,00000325,,2,10,2,6,$35.00 ,$32.50 ,$20.90 ,$32.50 ,15,87,24,41,58,10,19,26,S,1,37,F,H,"$165,543.00 "
0,00088386,,5,10,3,5,$14.00 ,$14.80 ,$12.80 ,$14.67 ,22,77,10,30,52,5,15,20,A,1,77,F,U,$0.00 
0,00088410,,1,10,0,4,$20.00 ,$20.00 ,$14.00 ,,18,110,13,33,66,6,6,29,A,1,62,F,H,"$73,899.00 "
0,00088417,,1,1,1,1,$20.00 ,$20.00 ,$20.00 ,$20.00 ,17,17,10,15,13,4,6,5,F,0,43,F,H,"$107,105.00 "
0,00087781,,1,14,0,5,$17.00 ,$17.00 ,$16.14 ,,26,81,11,32,61,5,5,23,A,1,41,M,U,$0.00 
0,00088900,,5,8,1,1,$10.00 ,$7.60 ,$8.88 ,$10.00 ,15,44,13,34,38,6,16,16,A,0,,M,U,$0.00 
1,00088489,$25.00 ,2,11,2,10,$30.00 ,$27.50 ,$17.00 ,$27.50 ,16,124,9,20,53,4,11,26,A,1,67,F,H,"$107,272.00 "
0,00088479,,3,7,1,5,$16.00 ,$14.00 ,$11.43 ,$12.00 ,18,76,13,33,57,6,15,21,A,1,79,M,H,"$107,272.00 "
1,00088474,$5.00 ,4,12,3,6,$10.00 ,$11.00 ,$9.83 ,$11.33 ,16,68,12,31,58,5,15,22,S,1,,M,H,"$107,272.00 "
1,00088535,$26.00 ,1,10,0,5,$21.00 ,$21.00 ,$8.40 ,,17,130,12,24,58,5,5,26,A,1,68,M,H,"$66,090.00 "
1,00088537,$5.00 ,5,23,3,14,$3.00 ,$3.40 ,$3.17 ,$3.67 ,16,128,11,29,66,5,12,26,S,1,76,M,H,"$66,090.00 "
0,00088518,,9,23,6,13,$3.00 ,$3.67 ,$3.43 ,$3.67 ,17,75,12,32,55,6,17,23,S,1,67,M,U,$0.00 
0,00096314,,2,32,1,17,$25.00 ,$25.00 ,$9.44 ,$25.00 ,17,126,22,44,137,9,20,56,A,1,27,M,H,"$66,090.00 "
0,00088542,,1,4,1,3,$25.00 ,$25.00 ,$16.25 ,$25.00 ,17,57,13,32,45,6,15,17,A,0,,M,U,$0.00 
0,00088547,,1,1,0,0,$15.00 ,$15.00 ,$15.00 ,,16,16,11,16,13,4,4,5,F,0,43,F,H,"$73,671.00 "
0,00088609,,6,16,3,9,$10.00 ,$8.00 ,$7.06 ,$6.67 ,17,81,13,33,61,6,16,25,S,1,65,F,U,$0.00 
1,00088596,$14.00 ,2,4,1,1,$15.00 ,$12.50 ,$10.00 ,$15.00 ,16,44,12,29,33,5,12,13,A,0,6,F,H,"$67,047.00 "
1,00088572,$15.00 ,1,1,1,1,$15.00 ,$15.00 ,$15.00 ,$15.00 ,17,17,10,15,14,3,5,5,F,0,69,F,U,"$67,047.00 "
1,00031953,$12.00 ,2,9,2,6,$15.00 ,$15.00 ,$12.22 ,$15.00 ,25,86,14,34,54,6,16,24,A,0,,M,U,"$76,594.00 "
1,00088662,$12.00 ,6,22,3,12,$14.00 ,$12.33 ,$8.77 ,$12.33 ,15,130,14,32,77,6,15,32,S,1,67,M,H,"$76,594.00 "
0,00088635,,4,5,3,3,$20.00 ,$10.25 ,$9.60 ,$10.00 ,22,35,12,32,34,6,16,14,A,0,35,M,H,"$76,594.00 "
1,00012454,$15.00 ,2,7,1,2,$10.00 ,$12.50 ,$9.00 ,$15.00 ,17,45,27,47,62,6,15,16,A,0,,M,H,"$106,020.00 "
1,00088709,$15.00 ,2,9,1,6,$15.00 ,$15.50 ,$9.56 ,$16.00 ,26,81,10,30,54,5,16,23,A,1,71,F,U,$0.00 
0,00088680,,1,1,1,1,$15.00 ,$15.00 ,$15.00 ,$15.00 ,17,17,11,16,14,4,6,5,F,0,51,F,H,"$106,020.00 "
0,00088116,,4,19,2,12,$5.00 ,$9.25 ,$6.68 ,$9.00 ,16,129,12,29,69,6,15,30,S,1,85,F,H,"$106,020.00 "
1,00088735,$10.00 ,8,25,5,14,$10.00 ,$8.00 ,$5.88 ,$8.00 ,21,104,12,32,72,6,17,29,S,1,70,F,H,"$40,165.00 "
0,00088733,,7,9,4,4,$10.00 ,$8.57 ,$7.78 ,$8.50 ,17,44,7,27,33,4,13,13,S,1,,F,U,$0.00 
0,00089195,,2,7,1,2,$25.00 ,$10.00 ,$10.71 ,$10.00 ,18,69,13,31,50,6,14,18,A,0,,M,H,$0.00 
1,00002935,$25.00 ,1,4,1,1,$20.00 ,$50.00 ,$22.50 ,$50.00 ,10,17,28,33,32,5,7,6,F,0,,F,H,"$89,773.00 "
1,00088766,$15.00 ,4,7,2,4,$12.00 ,$12.75 ,$11.00 ,$12.00 ,17,45,13,33,39,6,17,17,S,1,50,M,H,"$89,773.00 "
0,00007809,,3,23,2,11,$52.00 ,$48.67 ,$38.87 ,$49.50 ,16,110,29,50,112,6,17,33,S,1,,M,H,"$87,767.00 "
1,00088856,$4.00 ,5,18,5,11,$5.00 ,$3.60 ,$3.06 ,$3.60 ,15,107,10,27,60,4,11,25,A,1,62,F,U,"$87,767.00 "
0,00088848,,1,7,0,6,$20.00 ,$20.00 ,$18.57 ,,17,104,13,31,65,6,6,27,A,0,53,F,H,"$87,767.00 "
0,00088838,,1,4,1,3,$20.00 ,$20.00 ,$23.75 ,$20.00 ,17,76,13,26,50,6,12,19,A,1,69,M,H,"$87,767.00 "
0,00088822,,3,4,2,3,$20.00 ,$20.00 ,$17.50 ,$20.00 ,25,42,11,32,33,6,16,15,A,0,,F,U,$0.00 
1,00088802,$25.00 ,1,2,1,1,$10.00 ,$16.00 ,$13.00 ,$16.00 ,15,17,14,18,16,5,7,6,N,0,66,M,H,"$87,767.00 "
0,00088862,,1,1,1,1,$20.00 ,$20.00 ,$20.00 ,$20.00 ,24,24,7,17,16,3,7,6,N,0,53,F,H,"$118,487.00 "
1,00088886,$40.00 ,1,3,0,1,$25.00 ,$40.00 ,$35.00 ,,18,44,13,35,41,6,6,17,A,0,43,M,H,"$72,452.00 "
0,00088903,,2,4,0,1,$15.00 ,$15.00 ,$13.00 ,,26,45,9,30,35,4,4,15,A,0,49,F,H,"$59,240.00 "
1,00008013,$10.00 ,13,56,8,24,$7.00 ,$10.31 ,$8.29 ,$10.25 ,17,93,35,57,147,11,22,42,S,1,60,F,H,"$54,341.00 "
1,00088920,$25.00 ,1,1,1,1,$25.00 ,$25.00 ,$25.00 ,$25.00 ,21,21,11,18,17,5,8,7,F,0,42,F,H,"$54,341.00 "
0,00007776,,3,10,1,5,$12.00 ,$13.00 ,$9.00 ,$18.00 ,5,68,30,49,68,10,18,25,L,0,67,F,U,$0.00 
1,00190839,$15.00 ,2,2,1,1,$15.00 ,$12.50 ,$12.50 ,$10.00 ,18,28,11,24,22,4,10,9,A,0,41,M,H,"$42,613.00 "
1,00089030,$11.00 ,6,8,4,5,$10.00 ,$5.33 ,$5.63 ,$5.00 ,17,40,13,32,31,6,15,14,S,1,72,F,H,"$42,613.00 "
0,00089026,,2,2,2,2,$50.00 ,$37.50 ,$37.50 ,$37.50 ,21,29,13,27,25,6,13,11,A,0,65,M,H,"$42,613.00 "
0,00089071,,1,1,0,0,$20.00 ,$20.00 ,$20.00 ,,20,20,10,16,16,4,4,5,F,0,67,M,H,"$58,282.00 "
1,00031893,$20.00 ,1,1,1,1,$20.00 ,$20.00 ,$20.00 ,$20.00 ,21,21,10,17,15,4,7,6,F,0,,F,U,"$40,014.00 "
0,00089134,,1,1,0,0,$20.00 ,$20.00 ,$20.00 ,,15,15,10,14,12,5,5,6,F,0,,M,U,"$93,202.00 "
0,00089176,,1,5,1,4,$30.00 ,$30.00 ,$16.00 ,$30.00 ,17,93,13,30,53,6,14,22,A,0,35,M,H,"$122,794.00 "
1,00089174,$20.00 ,2,4,1,2,$27.00 ,$27.00 ,$22.25 ,$27.00 ,24,81,12,32,47,6,16,19,A,0,17,M,H,"$122,794.00 "
1,00088868,$8.00 ,6,7,4,4,$8.00 ,$7.67 ,$7.43 ,$7.00 ,17,28,13,24,24,6,12,10,A,1,73,F,H,"$122,794.00 "
1,00089209,$6.00 ,5,20,3,14,$7.00 ,$6.40 ,$6.25 ,$6.33 ,16,116,13,31,75,5,12,28,S,1,50,M,H,"$70,182.00 "
